"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6";"Littelfuse-GTCC23-XXXM-R01-2-Series-GDT";1;"GDT CG775";;;
2;"J3";"PinHeader_2x06_P2.54mm_renumbered";1;"PMOD C";;;
3;"J2";"PinHeader_2x06_P2.54mm_renumbered";1;"PMOD B";;;
4;"C8";"C_0402_1005Metric";1;"C_12p";;;
5;"R2,R1";"R_0402_1005Metric";2;"R_24";;;
6;"C9,C11,C13,C19,C18,C17,C15,C14,C34,C41,C36,C35,C33,C32,C16,C7,C6,C5,C4,C2,C1";"C_0402_1005Metric";21;"C_0.1u";;;
7;"C10,C12,C20,C27,C25,C23,C22,C21";"C_0603_1608Metric";8;"C_1u";;;
8;"C26,C42";"CP_EIA-2012-12_Kemet-R";2;"C_1u";;;
9;"U5";"SOT-23";1;"TC59";;;
10;"U4";"SOT-23-6";1;"LM2776";;;
11;"U7";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"ADA4817-1";;;
12;"U9";"SOT-23-5";1;"TLV2371DBV";;;
13;"R18,R17";"R_0402_1005Metric";2;"R_2K";;;
14;"C28,C24,C3";"C_0603_1608Metric";3;"C_2.2u";;;
15;"R25,R24,R23";"R_0402_1005Metric";3;"R_1k";;;
16;"U1";"QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm_ThermalVias";1;"LTC2267-14";;;
17;"R4,R3,R10,R9,R8,R7,R6,R5";"R_0402_1005Metric";8;"R_50";;;
18;"R22,R20,R16,R15";"R_0402_1005Metric";4;"R_10k";;;
19;"U8";"QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm";1;"LT6411";;;
20;"U3";"SOT-23-5";1;"MIC5501-3.0YM5";;;
21;"U2";"SOT-23-5";1;"TLV75718PDBV";;;
22;"R21";"R_0402_1005Metric";1;"R_47k";;;
23;"R19";"R_0402_1005Metric";1;"R_22k";;;
24;"R14";"R_0402_1005Metric";1;"R_1K";;;
25;"R13";"R_0402_1005Metric";1;"R_47k 0.1%";;;
26;"R12";"R_0402_1005Metric";1;"R_953k 0.1%";;;
27;"R11";"R_0402_1005Metric";1;"R_100";;;
28;"J8";"TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded";1;"-3.0VDC";;;
29;"J7";"TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded";1;"3.0VDC";;;
30;"J6";"TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded";1;"GND";;;
31;"J5";"TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded";1;"1 KHz ±3.0V";;;
32;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"SPI header";;;
33;"J1";"BNC_Amphenol_B6252HB-NPP3G-50_Horizontal";1;"Ch1 BNC";;;
34;"C40,C39";"C_0402_1005Metric";2;"C_470p";;;
35;"C38,C37";"C_0402_1005Metric";2;"C_4700p";;;
36;"C31";"C_0402_1005Metric";1;"C_360p";;;
37;"C30";"C_0402_1005Metric";1;"C_18p";;;
38;"C29";"C_0402_1005Metric";1;"C_47n";;;
